"BathingwaterStationId";"Name";"Latitude";"Longitude";"Location";"Responsible";"Type";"WaterType";"WaterArea";"WaterAreaNumber";"Started";"Closed";"BlueFlag";"ProfileUrl";"Main"
"badd552e-cdf4-40b1-8887-892814dec472";"Gyrstinge Sø";"55,500379792786966";"11,69959783167448";"";"RINGSTED KOMMUNE";"Kontrolstation";"Ferskvand";"";"";"19.04.2018 00.00.00";"19.04.2018 00.00.00";"False";"";""
"53b14144-9772-44fa-9e86-1f1e79432fa1";"Haraldsted Langesø";"55,48681752944148";"11,801462962921637";"";"RINGSTED KOMMUNE";"Kontrolstation";"Ferskvand";"";"DKLake850";"19.04.2018 00.00.00";"19.04.2018 00.00.00";"False";"";""
"9bc8abee-f0d3-4ba9-8b40-26a79d62e747";"Hvidsø, Jystrup";"55,52182173253375";"11,865972102511739";"";"RINGSTED KOMMUNE";"Badevandsstation";"Ferskvand";"Hvidsø";"DK_Lake602";"31.12.1999 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/2ehsajib.pdf";""
"80e232b1-a2ec-4754-83bd-2d080d1ce79b";"Hellerup Strand";"55,73263178861659";"12,582466140588627";"";"GENTOFTE KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"01.01.1990 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/dfd4tcor.pdf";""
"0a112b81-09e5-431e-803b-319ece44a72c";"Skovshoved Syd";"55,757942420660335";"12,599509939936606";"Ved badebroen";"GENTOFTE KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"01.01.2020 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/jg2cqstc.pdf";""
"af92fe21-ebe8-43f6-9d9a-3bf5cc583840";"Skovshoved, samling ved bananbro 2023";"55,76366451243018";"12,602908674058089";"Samling ved bananbro, overløbsledning Skovshoved kystfjernt";"GENTOFTE KOMMUNE";"Kontrolstation";"Marin";"Nordlige Øresund";"DK_COAST6";"19.08.2023 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/3q0d5pu1.pdf";""
"fa8c2c2b-73e4-4be1-91ae-203636a0443d";"Charlottenlund Strandpark";"55,74361092450652";"12,58800020904251";"";"GENTOFTE KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"31.12.1990 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/gfgb5tzr.pdf";""
"77689a39-7915-48bb-ad41-dc7c632b8362";"Bellevue strand";"55,77668612950274";"12,592493982366353";"";"GENTOFTE KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"31.12.1990 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/hgwbzu15.pdf";""
"7b2a4ddd-f912-456e-8897-8c7357a95f92";"Skovshoved Havbad";"55,76357011803029";"12,602211008096978";"";"GENTOFTE KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"Dk_Coast6";"01.01.2018 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/0fpicftu.pdf";""
"31203005-890c-4f24-af41-b2385885634b";"Charlottenlund badeanstalt";"55,74924661194281";"12,591148579336323";"";"GENTOFTE KOMMUNE";"Badevandsstation";"Marin";"North-east Atlantic Ocean";"Mangler";"31.12.1990 00.00.00";"31.12.2011 00.00.00";"False";"";""
